public_path,language,imports_or_packages,absolute_path_literals,requires_external_data,historical_reuse_status
historical_execution/P1_geometry/build_K_endpoint_design.py,Python,csv|json|math|pathlib,1,yes,partial_not_end_to_end_validated
historical_execution/P1_geometry/standardized_grid_lib.R,R,,0,yes,partial_not_end_to_end_validated
historical_execution/build_final_validation_inventories.py,Python,csv|hashlib|pathlib|re,0,yes,partial_not_end_to_end_validated
historical_execution/build_final_validation_stage_gate.py,Python,csv|datetime|hashlib|pathlib,0,yes,partial_not_end_to_end_validated
historical_execution/build_final_validation_zero_audits.py,Python,csv|datetime|hashlib|pathlib|re,0,yes,partial_not_end_to_end_validated
historical_execution/derive_acc_mean.py,Python,__future__|argparse|csv|json|math|pathlib|statistics|subprocess,0,yes,partial_not_end_to_end_validated
historical_execution/direct_calibration.R,R,,0,yes,partial_not_end_to_end_validated
historical_execution/lock_stageb_implementation.py,Python,csv|datetime|hashlib|pathlib|re|subprocess,0,yes,partial_not_end_to_end_validated
historical_execution/output_discovery.py,Python,pathlib,0,yes,partial_not_end_to_end_validated
historical_execution/product_and_figures/build_figures_v44b.py,Python,__future__|cartopy|matplotlib|numpy|os|pandas|pathlib|re,2,yes,partial_not_end_to_end_validated
historical_execution/product_and_figures/build_v1_final_product.py,Python,collections|csv|datetime|hashlib|json|os|pathlib|shutil|zipfile,0,yes,partial_not_end_to_end_validated
historical_execution/product_and_figures/build_v6_governance_product.py,Python,collections|csv|datetime|hashlib|json|pathlib|shutil|zipfile,0,yes,partial_not_end_to_end_validated
historical_execution/product_and_figures/finalize_v1_product.py,Python,collections|csv|datetime|hashlib|json|os|pathlib|shutil|zipfile,0,yes,partial_not_end_to_end_validated
historical_execution/resume_formal_baseline.py,Python,concurrent|csv|datetime|json|pathlib|run_formal_baseline,0,yes,partial_not_end_to_end_validated
historical_execution/run_formal_baseline.py,Python,concurrent|csv|datetime|hashlib|json|output_discovery|pathlib|shutil|subprocess,0,yes,partial_not_end_to_end_validated
historical_execution/stageb_diagnostics.R,R,diptest|posterior,0,yes,partial_not_end_to_end_validated
historical_execution/stageb_postprocess_model.R,R,,0,yes,partial_not_end_to_end_validated
historical_execution/test_output_discovery.py,Python,datetime|hashlib|output_discovery|pathlib|tempfile,0,yes,partial_not_end_to_end_validated
